id,appearances,team,goals,from,to
WC-2026-051,35,Portland Timbers,0,2024,2025
WC-2026-051,14,Orlando City,0,2026,None
WC-2026-052,15,Vaughan Azzurri,1,2015,2020
WC-2026-052,44,Nashville SC,1,2020,2021
WC-2026-052,33,CF Montréal,4,2022,None
WC-2026-052,85,Celtic,6,2023,None
WC-2026-053,0,Fulham,0,2023,None
WC-2026-053,27,→Dender EH(loan),0,2025,None
WC-2026-054,1,VfB Lübeck,0,2016,None
WC-2026-054,17,VfR Neumünster,2,2016,None
WC-2026-054,28,Javor Ivanjica,0,2017,2018
WC-2026-054,35,Vancouver Whitecaps FC,1,2019,2022
WC-2026-054,42,→Panetolikos(loan),2,2021,2022
WC-2026-054,37,Malmö,5,2023,2024
WC-2026-054,23,Marseille,0,2024,None
WC-2026-054,7,→Rangers(loan),1,2025,None
WC-2026-055,9,Sigma FC,5,2015,None
WC-2026-055,21,Orlando City,0,2016,2018
WC-2026-055,35,→Orlando City B(loan),3,2016,2017
WC-2026-055,67,Toronto FC,8,2019,2021
WC-2026-055,5,Nottingham Forest,0,2022,2024
WC-2026-055,28,→Toronto FC(loan),2,2022,2023
WC-2026-055,12,→Vancouver Whitecaps FC(loan),1,2023,None
WC-2026-055,38,Toronto FC,4,2024,None
WC-2026-056,7,Sigma FC,2,2018,None
WC-2026-056,50,New England Revolution,8,2019,2021
WC-2026-056,50,Club Brugge,4,2021,2024
WC-2026-056,10,→New England Revolution(loan),2,2021,None
WC-2026-056,16,Inter Milan,1,2024,2025
WC-2026-056,13,→Villarreal(loan),1,2025,None
WC-2026-056,34,Villarreal,7,2025,None
WC-2026-057,17,Nazarenos,1,2013,2014
WC-2026-057,56,Torreense,0,2015,2017
WC-2026-057,20,Leixões,0,2017,2018
WC-2026-057,29,Chaves,1,2018,2019
WC-2026-057,1,Cruz Azul,0,2019,2021
WC-2026-057,31,→Paços Ferreira(loan),2,2020,2021
WC-2026-057,34,Paços Ferreira,0,2021,2022
WC-2026-057,8,→Porto(loan),0,2022,None
WC-2026-057,95,Porto,4,2022,None
WC-2026-057,10,→Los Angeles FC(loan),1,2026,None
WC-2026-058,26,CF Montréal,2,2021,2022
WC-2026-058,58,Watford,4,2022,2024
WC-2026-058,8,Marseille,0,2024,2026
WC-2026-058,13,→Rennes(loan),2,2025,None
WC-2026-058,20,→Sassuolo(loan),4,2025,2026
WC-2026-058,15,Sassuolo,2,2026,None
WC-2026-059,0,Liverpool,0,2019,2021
WC-2026-059,33,→Kilmarnock(loan),2,2019,2020
WC-2026-059,27,→Charlton Athletic(loan),2,2021,None
WC-2026-059,61,Basel,7,2021,2024
WC-2026-059,35,→Preston North End(loan),5,2023,2024
WC-2026-059,44,Hull City,4,2024,None
WC-2026-060,60,Gent,30,2018,2020
WC-2026-060,178,Lille,87,2020,2025
WC-2026-060,35,Juventus,6,2025,None
WC-2026-061,5,Sigma,4,2014,None
WC-2026-061,87,Orlando City,43,2015,2018
WC-2026-061,83,Beşiktaş,31,2018,2022
WC-2026-061,29,→Zulte Waregem(loan),7,2019,2020
WC-2026-061,9,Club Brugge,1,2022,2023
WC-2026-061,19,→Valladolid(loan),8,2023,None
WC-2026-061,0,Valladolid,0,2023,None
WC-2026-061,67,Mallorca,10,2023,2026
WC-2026-061,8,→Feyenoord(loan),0,2025,2026
WC-2026-061,16,→Southampton(loan),8,2026,None
WC-2026-061,0,Southampton,0,2026,None
WC-2026-062,17,Zrinjski Mostar,0,2013,2017
WC-2026-062,24,→Igman Konjic(loan),0,2014,2015
WC-2026-062,13,→Branitelj(loan),0,2015,2016
WC-2026-062,42,1. FC Nürnberg II,0,2017,2019
WC-2026-062,20,Zorya Luhansk,0,2019,2021
WC-2026-062,162,FC St. Pauli,0,2021,2026
WC-2026-063,10,Wolfsberger AC II,0,2020,None
WC-2026-063,5,Wolfsberger AC,0,2021,None
WC-2026-063,47,Juventus Next Gen,2,2021,2025
WC-2026-063,28,→Sassuolo(loan),1,2024,2025
WC-2026-063,32,Sassuolo,2,2025,None
WC-2026-064,None,HNK Stolac,None,2013,2014
WC-2026-064,29,Neretvanac Opuzen,2,2014,2015
WC-2026-064,65,Slaven Belupo,1,2015,2018
WC-2026-064,37,Rangers,3,2018,2022
WC-2026-064,21,→Hajduk Split(loan),0,2021,2022
WC-2026-064,74,Zürich,7,2022,2025
WC-2026-064,15,→Plymouth Argyle(loan),1,2025,None
WC-2026-064,26,Schalke 04,1,2025,None
WC-2026-065,8,Schalke 04 II,2,2012,2015
WC-2026-065,94,Schalke 04,4,2012,2017
WC-2026-065,80,Arsenal,2,2017,2022
WC-2026-065,17,→Schalke 04(loan),1,2021,None
WC-2026-065,47,Marseille,4,2022,2023
WC-2026-065,72,Atalanta,1,2023,None
WC-2026-066,60,Red Bull Salzburg,4,2019,2025
WC-2026-066,50,Liefering,2,2019,2021
WC-2026-066,32,→Wolfsberger AC(loan),2,2021,2022
WC-2026-066,10,→Marseille(loan),0,2025,None
WC-2026-066,24,Benfica,1,2025,None
WC-2026-067,1,Dinamo Zagreb,0,2014,2015
WC-2026-067,30,Dinamo Zagreb II,1,2015,2016
WC-2026-067,62,Lokomotiva,7,2016,2018
WC-2026-067,24,Dinamo Zagreb,0,2018,2019
WC-2026-067,11,→Lokomotiva(loan),3,2018,None
WC-2026-067,160,Birmingham City,7,2019,2024
WC-2026-067,18,→Hertha BSC(loan),0,2022,2023
WC-2026-067,61,Pafos,8,2024,None
WC-2026-068,36,Željezničar,3,2014,2016
WC-2026-068,169,Konyaspor,12,2016,2023
WC-2026-068,41,Beşiktaş,1,2023,None
WC-2026-068,21,→Rizespor(loan),1,2024,2025
WC-2026-068,37,→Hull City(loan),0,2025,None
WC-2026-069,42,Zrinjski Mostar,7,2020,2022
WC-2026-069,71,Orenburg,4,2022,2025
WC-2026-069,21,Astana,1,2025,None
WC-2026-070,36,New England Revolution II,7,2021,2023
WC-2026-070,45,New England Revolution,3,2022,2025
WC-2026-070,32,PSV,4,2025,None
WC-2026-071,28,Red Bull Salzburg,9,2025,None
WC-2026-072,1,RB Leipzig II,1,2017,None
WC-2026-072,3,Alavés,1,2017,2020
WC-2026-072,16,→Sochaux(loan),4,2018,2019
WC-2026-072,13,→Almería(loan),0,2019,None
WC-2026-072,28,→St. Gallen(loan),14,2019,2020
WC-2026-072,61,SC Freiburg,7,2020,2022
WC-2026-072,63,FC Augsburg,23,2022,2024
WC-2026-072,59,VfB Stuttgart,27,2024,None
WC-2026-073,2,Manhattan SC,1,2021,None
WC-2026-073,None,NY Pancyprian-Freedoms,None,2021,None
WC-2026-073,51,Minnesota United,18,2022,2025
WC-2026-073,13,→Minnesota United 2(loan),3,2022,2023
WC-2026-073,25,→San Antonio FC(loan),17,2023,None
WC-2026-073,27,Villarreal,2,2025,None
WC-2026-074,43,Sloga Doboj,13,2016,2018
WC-2026-074,36,Krupa,12,2018,2020
WC-2026-074,14,→Zvijezda Gradačac(loan),5,2019,None
WC-2026-074,108,Borac Banja Luka,32,2020,2024
WC-2026-074,27,Universitatea Craiova,2,2024,2025
WC-2026-074,32,Universitatea Cluj,18,2025,None
WC-2026-075,27,Radnik Hadžići,5,2020,2021
WC-2026-075,32,Bravo,1,2021,2022
WC-2026-075,75,Karviná,16,2022,2024
WC-2026-075,45,Viktoria Plzeň,6,2025,None
WC-2026-076,27,Vasalunds IF,0,2020,2021
WC-2026-076,11,Roma,0,2021,2023
WC-2026-076,27,Ajax,2,2023,2025
WC-2026-076,40,Brøndby,1,2025,None
